,train_loss,train_acc,val_acc,test_acc
0,2.759009301662445,0.55234375,0.5413533834586466,0.5413533834586466
1,2.6961119771003723,0.5729166666666666,0.6666666666666666,0.6666666666666666
2,2.5052822828292847,0.8231770833333334,0.974937343358396,0.974937343358396
3,1.911809116601944,0.990234375,0.9924812030075187,0.9924812030075187
4,0.9961083084344864,0.994140625,0.9974937343358395,0.9974937343358395
5,0.30184327997267246,0.998046875,0.9949874686716792,0.9949874686716792
6,0.06799907609820366,0.99609375,1.0,1.0
7,0.01277524750912562,1.0,1.0,1.0
8,0.004833935803617351,1.0,1.0,1.0
9,0.0019138266652589664,1.0,1.0,1.0
10,0.00025087201629503397,1.0,1.0,1.0
11,0.00012401883304846706,1.0,1.0,1.0
12,7.248475742827054e-05,1.0,1.0,1.0
13,6.218198508634032e-05,1.0,1.0,1.0
14,4.9106226938988584e-05,1.0,1.0,1.0
15,4.484076328026276e-05,1.0,1.0,1.0
16,3.0284169575622855e-05,1.0,1.0,1.0
17,2.6545301658131848e-05,1.0,1.0,1.0
18,1.993272223899112e-05,1.0,1.0,1.0
19,1.592741987366253e-05,1.0,1.0,1.0
20,1.3810442405670642e-05,1.0,1.0,1.0
21,1.108965993523725e-05,1.0,1.0,1.0
22,9.786727360960867e-06,1.0,1.0,1.0
23,8.882900374374003e-06,1.0,1.0,1.0
24,8.516801456970313e-06,1.0,1.0,1.0
25,7.731288832246719e-06,1.0,1.0,1.0
26,8.208083841054759e-06,1.0,1.0,1.0
27,7.597243921964036e-06,1.0,1.0,1.0
28,6.551629873285947e-06,1.0,1.0,1.0
29,7.105909503479779e-06,1.0,1.0,1.0
30,6.090060310270928e-06,1.0,1.0,1.0
31,5.823023659701221e-06,1.0,1.0,1.0
32,6.0569932998078e-06,1.0,1.0,1.0
33,3.05270274054692e-05,1.0,1.0,1.0
34,5.06513555365018e-06,1.0,1.0,1.0
35,4.9491179368033045e-06,1.0,1.0,1.0
36,4.6946667993097435e-06,1.0,1.0,1.0
37,4.681982815668562e-06,1.0,1.0,1.0
38,4.410165900026186e-06,1.0,1.0,1.0
39,4.794277174369199e-06,1.0,1.0,1.0
40,4.554723318506149e-06,1.0,1.0,1.0
41,4.634866400010651e-06,1.0,1.0,1.0
42,4.029799804072809e-06,1.0,1.0,1.0
43,4.0055748087297616e-06,1.0,1.0,1.0
44,3.838514643028645e-06,1.0,1.0,1.0
45,3.755617753675722e-06,1.0,1.0,1.0
46,3.850448351272462e-06,1.0,1.0,1.0
47,3.591407391922985e-06,1.0,1.0,1.0
48,6.216919871349091e-06,1.0,1.0,1.0
49,3.46200006973163e-06,1.0,1.0,1.0
50,3.4344883985681918e-06,1.0,1.0,1.0
51,3.3374682182341076e-06,1.0,1.0,1.0
52,3.238181396358897e-06,1.0,1.0,1.0
53,3.1950881407283305e-06,1.0,1.0,1.0
54,3.198432160900211e-06,1.0,1.0,1.0
55,3.0819188054920232e-06,1.0,1.0,1.0
56,3.019047227326155e-06,1.0,1.0,1.0
57,3.0056629718444583e-06,1.0,1.0,1.0
58,3.2037785331340274e-06,1.0,1.0,1.0
59,3.195735231997787e-06,1.0,1.0,1.0
60,3.411829126775956e-06,1.0,1.0,1.0
61,2.7740811781029606e-06,1.0,1.0,1.0
62,2.7247160119259206e-06,1.0,1.0,1.0
63,2.699628115720998e-06,1.0,1.0,1.0
64,4.805350314995849e-06,1.0,1.0,1.0
65,2.6868915554700834e-06,1.0,1.0,1.0
66,2.6027909569847907e-06,1.0,1.0,1.0
67,2.535885432752849e-06,1.0,1.0,1.0
68,2.517069656704507e-06,1.0,1.0,1.0
69,2.4706854770961684e-06,1.0,1.0,1.0
70,2.447399598981548e-06,1.0,1.0,1.0
71,2.420853736584405e-06,1.0,1.0,1.0
72,3.187643173419019e-06,1.0,1.0,1.0
73,2.414357759050745e-06,1.0,1.0,1.0
74,2.331901900465283e-06,1.0,1.0,1.0
75,2.407057628772691e-06,1.0,1.0,1.0
76,2.414194653965751e-06,1.0,1.0,1.0
77,2.382991837635018e-06,1.0,1.0,1.0
78,2.230594283503251e-06,1.0,1.0,1.0
79,2.2098853134089325e-06,1.0,1.0,1.0
80,2.180545753294183e-06,1.0,1.0,1.0
81,2.179487644582423e-06,1.0,1.0,1.0
82,2.4223136847467686e-06,1.0,1.0,1.0
83,8.449489257600362e-06,1.0,1.0,1.0
84,2.1477233431710374e-06,1.0,1.0,1.0
85,2.0665677702425e-06,1.0,1.0,1.0
86,7.110363654305729e-06,1.0,1.0,1.0
87,1.9763466898581328e-06,1.0,1.0,1.0
88,5.981202406246666e-06,1.0,1.0,1.0
89,1.904472245684019e-06,1.0,1.0,1.0
90,1.8562581942660472e-06,1.0,1.0,1.0
91,1.8044748912871e-06,1.0,1.0,1.0
92,1.7830533458607079e-06,1.0,1.0,1.0
93,2.315894761295567e-06,1.0,1.0,1.0
94,2.4441392696417097e-06,1.0,1.0,1.0
95,1.7507650582615497e-06,1.0,1.0,1.0
96,1.7237245080181651e-06,1.0,1.0,1.0
97,1.7286910960478963e-06,1.0,1.0,1.0
98,1.688767728769136e-06,1.0,1.0,1.0
99,3.753887511948051e-06,1.0,1.0,1.0
